track_popularity,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,album_songs,popular,genre_pop,genre_rap,genre_dance pop,genre_hip hop,genre_pop rap,genre_rock,genre_r&b,genre_trap,genre_urban contemporary,genre_southern hip hop,genre_modern rock,genre_electro,genre_edm,genre_canadian pop,genre_house
65,66,0.729,0.731,4.0,68.0,1.0,0.0682,0.235,1.35e-06,0.391,0.838,138.204,302720.0,3,False,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
88,83,0.556,0.864,3.0,76.0,0.0,0.0584,0.00958,0.0,0.209,0.4,105.143,216880.0,1,True,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
86,86,0.557,0.442,5.0,85.0,1.0,0.0243,0.731,1.46e-05,0.11,0.213,146.277,309600.0,4,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,88,0.548,0.847,1.0,51.0,1.0,0.186,0.0622,0.0,0.0816,0.1,171.447,297787.0,4,True,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
84,80,0.618,0.938,9.0,53.0,1.0,0.0456,0.0179,0.0,0.167,0.875,91.455,269000.0,2,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79,73,0.956,0.745,11.0,67.0,0.0,0.12,0.206,0.0,0.0615,0.912,107.075,228240.0,2,True,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
79,73,0.487,0.9,0.0,64.0,1.0,0.0482,6.79e-05,0.0,0.358,0.484,149.937,204000.0,3,True,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78,70,0.745,0.219,5.0,104.0,1.0,0.0276,0.851,1.8e-05,0.0678,0.635,88.609,186251.0,1,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,69,0.665,0.695,0.0,76.0,1.0,0.0532,0.347,0.0,0.106,0.707,90.119,227387.0,3,False,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
76,65,0.835,0.707,8.0,70.0,1.0,0.0598,0.0219,2.19e-05,0.108,0.919,93.955,267093.0,1,False,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
78,80,0.451,0.97,0.0,69.0,1.0,0.107,0.0264,0.00355,0.102,0.198,122.444,216933.0,2,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
84,86,0.577,0.749,5.0,85.0,0.0,0.0279,0.599,0.0115,0.183,0.255,130.97,307880.0,4,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,88,0.908,0.758,9.0,67.0,0.0,0.174,0.0687,0.0,0.0783,0.87,148.015,297840.0,4,False,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
74,66,0.32,0.88,2.0,78.0,1.0,0.0504,0.000101,4.31e-06,0.076,0.257,146.349,294600.0,1,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
74,61,0.58,0.748,4.0,73.0,1.0,0.0323,0.00935,0.0,0.753,0.584,109.781,216760.0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,70,0.648,0.759,6.0,63.0,1.0,0.306,0.0142,0.0,0.648,0.518,85.996,324307.0,2,False,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
76,86,0.424,0.588,9.0,73.0,1.0,0.0278,0.0553,4.95e-06,0.298,0.193,144.636,226680.0,4,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,77,0.816,0.5,1.0,65.0,1.0,0.03,0.0227,1.53e-06,0.0733,0.649,124.037,247840.0,3,False,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
73,79,0.802,0.903,11.0,51.0,0.0,0.046,0.0011,0.0,0.173,0.96,128.93,192533.0,3,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,69,0.884,0.677,1.0,74.0,1.0,0.283,0.0778,0.0,0.0732,0.584,101.868,263227.0,3,False,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
70,71,0.713,0.471,1.0,86.0,0.0,0.483,0.421,0.0,0.0308,0.779,199.764,285587.0,1,False,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
70,66,0.571,0.438,2.0,84.0,1.0,0.0279,0.534,1.56e-05,0.187,0.444,145.948,230549.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,52,0.607,0.923,1.0,83.0,1.0,0.0948,0.0193,1.1e-06,0.0924,0.868,184.819,213973.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,75,0.64,0.889,2.0,48.0,1.0,0.322,0.107,0.0,0.339,0.436,99.931,298853.0,3,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,57,0.758,0.768,6.0,74.0,1.0,0.174,0.0237,0.0,0.141,0.824,83.033,204707.0,2,False,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
